model,trait,format,prefix,neutral,method,layer,n_train,sign_correct_train,n_hold,sign_correct_hold,snr_train,snr_hold,mean_signed_hold,cv_acc,k_pcs_at_layer,cos_to_lda
Llama8,O,chat,generic,scenario_setups,MD-projected,13,50,50,24,24,3.657846689224243,4.456234931945801,0.9845108985900879,,1,0.32179510593414307
Llama8,O,bare,generic,scenario_setups,LDA,11,50,49,24,24,1.492439866065979,3.015207052230835,0.342214435338974,1.0,,
Llama8,O,bare,generic,scenario_setups,LR,11,50,50,24,24,4.75770833446689,3.9891035666871093,0.781420637857383,,,0.3524965077657066
Llama8,O,bare,generic,scenario_setups,MD-raw,14,50,50,24,24,3.524178981781006,4.055303573608398,1.1882656812667847,,,0.26634877920150757
Llama8,O,bare,generic,scenario_setups,MD-projected,14,50,50,24,24,3.293717622756958,3.7196288108825684,1.0454119443893433,,26,0.26758649945259094
Qwen7,H,chat,generic,scenario_setups,LDA,19,50,47,24,21,1.5152570009231567,1.2140607833862305,2.7018184661865234,1.0,,
Qwen7,H,chat,generic,scenario_setups,LR,19,50,50,24,22,4.864036188908209,1.236731638360568,5.2717988581232715,,,0.27245242031163297
Qwen7,H,chat,generic,scenario_setups,MD-raw,18,50,50,24,17,2.5548007488250732,0.933821976184845,4.776768207550049,,,0.32943207025527954
Qwen7,H,chat,generic,scenario_setups,MD-projected,18,50,50,24,19,2.595717668533325,0.9484816789627075,4.82144021987915,,1,0.3306012749671936
Qwen7,H,bare,generic,scenario_setups,LDA,16,50,46,24,21,1.3539856672286987,1.1029667854309082,2.18363094329834,0.9800000000000001,,
Qwen7,H,bare,generic,scenario_setups,LR,16,50,50,24,20,5.034819103657013,1.1352774664220002,4.27075703969221,,,0.21481324566930277
Qwen7,H,bare,generic,scenario_setups,MD-raw,15,50,50,24,18,2.3202731609344482,0.8442991971969604,4.3158392906188965,,,0.31951338052749634
Qwen7,H,bare,generic,scenario_setups,MD-projected,18,50,50,24,20,2.4629616737365723,0.993465781211853,5.388179779052734,,24,0.3093807101249695
Qwen7,E,chat,generic,scenario_setups,LDA,13,50,47,24,24,1.6333765983581543,2.3342809677124023,1.5319185256958008,1.0,,
Qwen7,E,chat,generic,scenario_setups,LR,13,50,50,24,24,8.121249192147017,3.070144945602655,5.867270078729973,,,0.22106359671155204
Qwen7,E,chat,generic,scenario_setups,MD-raw,18,50,50,24,24,5.383359432220459,3.425140857696533,7.873422145843506,,,0.19850735366344452
Qwen7,E,chat,generic,scenario_setups,MD-projected,18,50,50,24,24,5.400425910949707,3.4249966144561768,7.8736114501953125,,1,0.1986008882522583
Qwen7,E,bare,generic,scenario_setups,LDA,14,50,45,24,23,1.5531048774719238,1.9721102714538574,1.792162537574768,1.0,,
Qwen7,E,bare,generic,scenario_setups,LR,14,50,50,24,24,8.45334606839325,3.047937306357113,6.976216245755663,,,0.21200380152148462
Qwen7,E,bare,generic,scenario_setups,MD-raw,18,50,50,24,24,5.078887462615967,3.3577680587768555,8.564507484436035,,,0.21011467278003693
Qwen7,E,bare,generic,scenario_setups,MD-projected,18,50,50,24,24,5.320965766906738,3.012904405593872,7.626926422119141,,24,0.19738562405109406
Qwen7,X,chat,generic,scenario_setups,LDA,24,50,43,24,24,1.161621332168579,1.2965894937515259,6.502442836761475,1.0,,
Qwen7,X,chat,generic,scenario_setups,LR,24,50,50,24,24,7.209793807551546,1.9188216027039158,15.921917563311668,,,0.17247012121124528
Qwen7,X,chat,generic,scenario_setups,MD-raw,14,50,50,24,24,3.769713878631592,2.2431983947753906,5.431798934936523,,,0.18663236498832703
Qwen7,X,chat,generic,scenario_setups,MD-projected,14,50,50,24,24,3.817549705505371,2.2354471683502197,5.4057297706604,,1,0.18793414533138275
Qwen7,X,bare,generic,scenario_setups,LDA,16,50,44,24,23,1.2993693351745605,1.7805601358413696,2.4597082138061523,1.0,,
Qwen7,X,bare,generic,scenario_setups,LR,16,50,50,24,24,7.261843946215318,2.273479092113169,6.605636449134977,,,0.16470811144009612
Qwen7,X,bare,generic,scenario_setups,MD-raw,14,50,50,24,24,3.7481634616851807,2.1328980922698975,6.086084842681885,,,0.25156301259994507
Qwen7,X,bare,generic,scenario_setups,MD-projected,14,50,50,24,24,3.7522196769714355,2.2549757957458496,5.503902435302734,,29,0.24239903688430786
Qwen7,A,chat,generic,scenario_setups,LDA,15,50,45,24,24,1.361554503440857,1.7571412324905396,1.829842209815979,1.0,,
Qwen7,A,chat,generic,scenario_setups,LR,15,50,50,24,24,6.7959158235384765,1.8710861467280797,4.241183496249722,,,0.2523457372228041
Qwen7,A,chat,generic,scenario_setups,MD-raw,20,50,50,24,23,3.818953037261963,1.9613419771194458,6.352792263031006,,,0.24078793823719025
Qwen7,A,chat,generic,scenario_setups,MD-projected,20,50,50,24,23,3.841508626937866,1.9758557081222534,6.374755859375,,1,0.24075531959533691
Qwen7,A,bare,generic,scenario_setups,LDA,15,50,43,24,24,1.1649508476257324,1.7562096118927002,1.9473425149917603,1.0,,
Qwen7,A,bare,generic,scenario_setups,LR,15,50,50,24,23,7.061242240806983,1.7679301795030473,4.500140586447583,,,0.21629980549862465
Qwen7,A,bare,generic,scenario_setups,MD-raw,18,50,50,24,23,3.6615617275238037,1.9319807291030884,5.553170680999756,,,0.2677912414073944
Qwen7,A,bare,generic,scenario_setups,MD-projected,16,50,50,24,24,3.880492687225342,2.2467164993286133,4.885309219360352,,26,0.29535233974456787
Qwen7,C,chat,generic,scenario_setups,LDA,10,50,44,24,23,1.1927255392074585,1.4188673496246338,1.61992347240448,1.0,,
Qwen7,C,chat,generic,scenario_setups,LR,10,50,50,24,24,4.8971856919888355,1.5009815886845395,3.339084508511366,,,0.14217716685809786
Qwen7,C,chat,generic,scenario_setups,MD-raw,18,50,50,24,23,3.0552408695220947,1.7905638217926025,7.311784267425537,,,0.1581391841173172
Qwen7,C,chat,generic,scenario_setups,MD-projected,16,50,50,24,24,3.186741828918457,1.840966820716858,6.364675045013428,,1,0.17179395258426666
