cos_raw_proj,cos_to_lda,cv_acc,format,k_pcs_at_layer,layer,mean_signed_hold,mean_signed_train,method,neutral,prefix,sign_correct_hold,sign_correct_train,snr_hold,snr_train
,,1.0,chat,,12,0.5207898616790771,0.7397855520248413,LDA,factual,low,24,48,1.7806808948516846,1.5140246152877808
0.4975534975528717,0.197037011384964,,chat,,7,0.35319480299949646,0.8449642062187195,MD-raw,factual,low,17,50,0.7684708833694458,2.5721538066864014
0.4975534975528717,0.4916781187057495,,chat,8,12,0.8079743981361389,1.4723060131072998,MD-projected,factual,low,19,50,1.1778197288513184,2.620645761489868
,,0.9800000000000001,chat,,11,0.35174307227134705,0.5555365085601807,LDA,scenario_setups,absent,20,45,1.0546965599060059,1.209132432937622
0.9999945759773254,0.21743866801261902,,chat,,7,0.3429758548736572,0.83054518699646,MD-raw,scenario_setups,absent,17,50,0.7453024983406067,2.599768877029419
0.9999945759773254,0.21748903393745422,,chat,1,7,0.342984676361084,0.8305405974388123,MD-projected,scenario_setups,absent,17,50,0.7454187870025635,2.600087881088257
,,0.9800000000000001,chat,,11,0.35174307227134705,0.5555365085601807,LDA,shaggy_dog,absent,20,45,1.0546965599060059,1.209132432937622
0.9906501173973083,0.21743866801261902,,chat,,7,0.3429758548736572,0.83054518699646,MD-raw,shaggy_dog,absent,17,50,0.7453024983406067,2.599768877029419
0.9906501173973083,0.2166147232055664,,chat,5,7,0.34425461292266846,0.8227797150611877,MD-projected,shaggy_dog,absent,18,50,0.7544091939926147,2.610649824142456
,,0.9800000000000001,chat,,11,0.35174307227134705,0.5555365085601807,LDA,factual,absent,20,45,1.0546965599060059,1.209132432937622
0.9927859306335449,0.21743866801261902,,chat,,7,0.3429758548736572,0.83054518699646,MD-raw,factual,absent,17,50,0.7453024983406067,2.599768877029419
0.9927859306335449,0.2177196443080902,,chat,7,7,0.3485974371433258,0.8245536088943481,MD-projected,factual,absent,17,50,0.7757967710494995,2.6146345138549805
,,0.9800000000000001,chat,,12,0.4539397656917572,0.6880499124526978,LDA,scenario_setups,generic,24,48,1.3949644565582275,1.4115852117538452
0.9999454617500305,0.13957487046718597,,chat,,5,0.22764016687870026,0.5602812767028809,MD-raw,scenario_setups,generic,17,50,0.7779167294502258,2.5899405479431152
0.9999454617500305,0.13963553309440613,,chat,1,5,0.22766779363155365,0.5602506995201111,MD-projected,scenario_setups,generic,17,50,0.7782029509544373,2.5900073051452637
,,0.9800000000000001,chat,,12,0.4539397656917572,0.6880499124526978,LDA,shaggy_dog,generic,24,48,1.3949644565582275,1.4115852117538452
0.40201354026794434,0.13957487046718597,,chat,,5,0.22764016687870026,0.5602812767028809,MD-raw,shaggy_dog,generic,17,50,0.7779167294502258,2.5899405479431152
0.40201354026794434,0.4756520092487335,,chat,7,12,0.7298393249511719,1.407089114189148,MD-projected,shaggy_dog,generic,19,50,1.0143439769744873,2.651017904281616
,,0.9800000000000001,chat,,12,0.4539397656917572,0.6880499124526978,LDA,factual,generic,24,48,1.3949644565582275,1.4115852117538452
0.4073137640953064,0.13957487046718597,,chat,,5,0.22764016687870026,0.5602812767028809,MD-raw,factual,generic,17,50,0.7779167294502258,2.5899405479431152
0.4073137640953064,0.4738278388977051,,chat,8,12,0.7224752902984619,1.4244487285614014,MD-projected,factual,generic,19,50,0.9937262535095215,2.622028112411499
