model,trait,format,prefix,neutral,method,layer,n_train,sign_correct_train,n_hold,sign_correct_hold,snr_train,snr_hold,mean_signed_hold,cv_acc,k_pcs_at_layer,cos_to_lda
FalconMamba,A,chat,generic,scenario_setups,LDA,40,50,43,24,22,1.2173289060592651,1.4636666774749756,1.1916733980178833,1.0,,
FalconMamba,A,chat,generic,scenario_setups,LR,40,50,50,24,24,6.56922731307438,1.9042954772733214,2.3984005009627256,,,0.30257799638282096
FalconMamba,A,chat,generic,scenario_setups,MD-raw,39,50,50,24,24,4.07757568359375,1.934437870979309,2.1777760982513428,,,0.4408944249153137
FalconMamba,A,chat,generic,scenario_setups,MD-projected,39,50,50,24,24,4.013638496398926,1.969103455543518,2.135174036026001,,33,0.44061219692230225
FalconMamba,C,chat,generic,scenario_setups,LDA,18,50,46,24,22,1.1881555318832397,1.228638768196106,0.118143729865551,1.0,,
FalconMamba,C,chat,generic,scenario_setups,LR,18,50,50,24,24,3.566924922877705,1.5391747329555032,0.3209242762512047,,,0.33904605079296796
FalconMamba,C,chat,generic,scenario_setups,MD-raw,29,50,50,24,24,3.9127156734466553,1.7062705755233765,1.0693995952606201,,,0.26379209756851196
FalconMamba,C,chat,generic,scenario_setups,MD-projected,29,50,50,24,24,4.22930383682251,1.785404920578003,0.9423181414604187,,35,0.24899913370609283
FalconMamba,O,chat,generic,scenario_setups,LDA,26,50,49,24,24,1.38081955909729,3.5404891967773438,0.35531678795814514,1.0,,
FalconMamba,O,chat,generic,scenario_setups,LR,26,50,50,24,24,5.233953929010486,5.420451119947073,0.8641454568722035,,,0.35005850263528443
FalconMamba,O,chat,generic,scenario_setups,MD-raw,19,50,50,24,24,3.9503233432769775,3.916639804840088,0.3441542387008667,,,0.31982362270355225
FalconMamba,O,chat,generic,scenario_setups,MD-projected,20,50,50,24,24,3.600175619125366,3.8593599796295166,0.32651686668395996,,38,0.33487793803215027
